methodology_topic,search_date,query_family,query_text,language_or_circle,source_bucket,target_pattern,result_quality,next_step,notes
institutional-research-quality-gate,2026-05-30,internal_artifact,"MIRA.md",repo,derived_internal,existing_contract,high,use_as_boundary,"Already requires routing, source quality, facts/inferences/judgments separation, uncertainty and refresh conditions."
institutional-research-quality-gate,2026-05-30,internal_artifact,"OPERATING_CONTRACT.md",repo,derived_internal,existing_contract,high,avoid_duplication,"Already requires evidence trail, stale_after/must_refresh_if and downgrade when evidence is weak."
institutional-research-quality-gate,2026-05-30,internal_artifact,"templates/delivery-checklist.md",repo,derived_internal,delivery_check,high,compare_against_quality_gate,"Checklist verifies package completeness; new gate should only test whether a conclusion deserves thesis-level status."
institutional-research-quality-gate,2026-05-30,internal_artifact,"data/claim-taxonomy.md",repo,derived_internal,evidence_classification,high,avoid_duplication,"Claim taxonomy already separates facts, opinions, assumptions, market pricing and weak signals."
institutional-research-quality-gate,2026-05-30,internal_artifact,"memory/methodologies/institutional-thesis-system.md",repo,derived_internal,stateful_thesis,high,make_gate_smaller,"Thesis system maintains durable objects; quality gate should be a pre-upgrade test, not another state machine."
institutional-research-quality-gate,2026-05-30,institutional,"CFA Institute Standard V(A) Diligence and Reasonable Basis",en,institutional,reasonable_basis,high,use_as_source_note,"Supports reasonable and adequate basis, source diligence, important factors and testing limitations before investment analysis or action."
institutional-research-quality-gate,2026-05-30,institutional,"CFA Institute Standard V(B) Communication with Clients and Prospective Clients",en,institutional,fact_opinion_boundary,high,use_as_source_note,"Supports distinguishing fact from opinion and identifying important factors in analysis."
institutional-research-quality-gate,2026-05-30,institutional,"CFA Institute Standard V(C) Record Retention",en,institutional,source_trail,high,use_as_source_note,"Supports retaining records that substantiate research scope and reasons for conclusions or actions."
institutional-research-quality-gate,2026-05-30,practitioner,"Expectations Investing price-implied expectations",en,practitioner,decision_relevance,medium-high,use_as_source_note,"Supports asking what expectations are embedded in price and what revisions matter, aligning with decision increment and first-order variable discipline."
institutional-research-quality-gate,2026-05-30,practitioner,"Oakmark devil's advocate retrospective thesis process",en,practitioner,challenge_and_review,medium-high,use_as_source_note,"Supports challenge mechanisms, retrospective review and testing company fundamentals against the original thesis."
institutional-research-quality-gate,2026-05-30,practitioner,"Bridgewater All Weather Story surprises relative to expectations component drivers",en,practitioner,practice_tested_simplification,medium,use_as_context,"Supports component-driver thinking, surprises relative to expectations and avoiding over-reliance on narrow personal experience."
